osm_id,road_class,road_type,is_flooded,length_km,lat,lon,n_points,cluster
206673872,street,residential,1,0.118,12.984108,80.216026,2,0
30596872,street,unclassified,1,0.132,12.97377,80.200594,3,0
27643180,street_limited,living_street,1,0.063,13.030928,80.260902,2,0
208361200,street,residential,1,0.046,12.914316,80.156162,2,0
274718912,street,primary_link,1,0.045,13.067531,80.208709,6,0
35460668,street,unclassified,1,0.306,12.821306,80.047247,2,1
23641252,street,unclassified,1,0.073,13.005921,80.20356,2,0
184301024,street,unclassified,1,0.086,12.980076,80.188997,2,0
232405632,street,residential,1,0.085,12.977472,80.217302,2,0
30342448,main,tertiary,1,0.454,12.970103,80.264059,7,0
23901204,street_limited,living_street,1,0.178,13.063193,80.274955,2,0
33135046,street,unclassified,1,0.152,13.18298,80.302404,3,0
30281994,street,unclassified,1,0.096,12.977346,80.254884,2,0
98639488,minor_rail,rail,1,1.03,12.969014,80.224966,12,0
206654144,street_limited,living_street,1,0.187,13.044946,80.207216,4,0
55556332,main,secondary,1,0.229,12.982303,80.254296,7,0
27360404,street,residential,1,0.1,12.980367,80.206264,3,0
307033888,motorway,motorway,1,1.261,12.990282,80.088428,7,0
27274196,street,residential,1,0.176,12.981937,80.206173,6,0
208378448,street,residential,1,0.167,12.935531,80.215863,4,0
24338812,street,residential,1,0.183,13.02327,80.259813,3,0
29882152,path,steps,1,0.038,13.02151,80.225949,2,0
27201936,street_limited,living_street,1,0.14,13.036721,80.221702,2,0
30119312,main,secondary,1,1.314,12.937219,80.096333,7,0
314877504,street,unclassified,1,1.289,12.913952,80.074461,4,0
23929776,street,unclassified,1,0.284,13.034397,80.262328,6,0
33631900,street,unclassified,1,0.149,13.039844,80.12417,4,0
26482360,main,tertiary,1,0.7,13.142397,80.249623,13,0
32335278,street,unclassified,1,0.255,13.027361,80.198839,4,0
32424154,street,residential,1,0.137,13.02951,80.209649,2,0
30312528,street,unclassified,1,0.128,12.978221,80.254784,4,0
102661704,street,unclassified,1,0.203,13.064675,80.216518,5,0
132065360,street,unclassified,1,0.047,12.966323,80.249347,2,0
24270448,street,residential,1,0.199,13.03364,80.26621,3,0
188574976,street,unclassified,1,0.181,12.82291,80.045745,2,1
206634208,street,residential,1,0.178,12.965903,80.215365,3,0
23970148,street,residential,1,0.295,13.086577,80.224278,5,0
23186356,street,unclassified,1,0.076,13.056137,80.234385,2,0
27370208,street,residential,1,0.131,12.979804,80.209635,3,0
33560152,street_limited,living_street,1,0.259,13.062198,80.212747,3,0
112716584,street_limited,living_street,1,0.115,13.076842,80.249531,2,0
190695312,service,service,1,0.159,12.952387,80.17021,7,0
24240078,street,residential,1,0.087,13.090785,80.21635,2,0
24338792,street,residential,1,0.445,13.024315,80.260897,10,0
207147904,street,residential,1,0.337,13.012624,80.241039,13,0
31961786,street,unclassified,1,0.366,13.044703,80.113505,6,0
249673648,street,road,1,0.05,13.014313,80.16095,3,0
208174928,street,residential,1,0.306,12.924213,80.091526,3,0
30312148,street,unclassified,1,0.208,12.97273,80.259238,4,0
27369788,street,unclassified,1,0.267,12.965049,80.190296,5,0
30923370,street_limited,living_street,1,0.367,13.082569,80.236018,5,0
206819360,street_limited,living_street,1,0.084,13.059092,80.217943,2,0
0,street,residential,1,0.232,12.939778,80.231528,3,0
27368888,main,tertiary,1,0.246,12.939457,80.246117,3,0
30424292,main,secondary,1,0.881,12.888663,80.184685,7,0
25774736,street,residential,1,0.106,12.972144,80.18988,2,0
214698608,path,footway,1,0.08,13.074619,80.266867,5,0
24375476,street_limited,living_street,1,0.248,13.063591,80.242449,5,0
27442638,street,unclassified,1,0.278,12.962993,80.21099,9,0
27442652,street,residential,1,0.444,12.95893,80.208174,6,0
34254416,street_limited,living_street,1,0.211,13.032473,80.199427,2,0
30622134,street,unclassified,1,0.305,13.029874,80.159808,5,0
34023076,street,residential,1,0.171,13.038197,80.198377,3,0
24775500,street,residential,1,0.144,13.021385,80.244877,4,0
206654144,street,residential,1,0.063,13.036753,80.207241,3,0
95669984,main,primary,1,1.275,12.817569,80.22974,13,5
27470626,street,unclassified,1,0.11,13.0571,80.209773,2,0
30680572,street_limited,living_street,1,0.289,12.997606,80.20317,5,0
24831640,street_limited,living_street,1,0.353,13.034076,80.242235,9,0
294991968,street,residential,1,0.087,12.921352,80.18812,3,0
34617996,main,tertiary,1,1.289,13.084062,80.118052,11,0
232404416,street,residential,1,0.092,12.961977,80.185089,2,0
27319936,street,residential,1,0.34,12.982916,80.214937,8,0
23163932,service,service,1,0.262,13.03522,80.227889,9,0
27320172,street,residential,1,0.306,12.972322,80.214935,3,0
369983648,service,service,1,0.122,12.94208,80.237007,2,0
98357648,street,unclassified,1,1.22,12.898846,80.206652,22,0
24338714,street,residential,1,0.184,13.027843,80.270361,7,0
30623544,street,unclassified,1,0.356,13.040873,80.158781,12,0
32945508,street,unclassified,1,0.117,13.036312,80.178938,2,0
25466340,main,secondary,1,0.109,13.036287,80.220663,4,0
211531328,street_limited,living_street,1,0.108,13.038793,80.271651,3,0
208187488,street,residential,1,0.47,12.924899,80.135332,6,0
102663600,main,tertiary,1,0.391,13.166755,80.255609,5,2
208935040,street,residential,1,0.106,12.983383,80.12124,3,0
179306368,street,residential,1,0.225,12.951198,80.196365,6,0
179305584,street,residential,1,0.228,12.950734,80.198315,4,0
30609138,street,unclassified,1,0.105,12.978597,80.231656,2,0
23164012,street,residential,1,0.184,13.043607,80.239581,3,0
25116884,main,primary,1,0.978,12.882811,80.245051,17,0
375214144,service,service,1,0.315,12.921631,80.120592,3,0
24775498,street,residential,1,0.09,13.020311,80.238227,2,0
32542304,street,residential,1,0.067,13.013866,80.184476,2,0
23929960,street,residential,1,0.228,13.0427,80.267141,3,0
217651136,street_limited,living_street,1,0.047,13.097722,80.2927,2,0
207264544,street_limited,living_street,1,0.399,13.078033,80.208984,6,0
45403664,service,service,1,0.017,13.068684,80.205204,2,0
