district,fatalities,no_of_camps,actual_rainfall_in_mm,normal_rainfall_in_mm,no_of_landslides,full_damaged_houses,rainfall_excess,rainfall_ratio,camp_ratio,damage_per_camp,high_landslide,food_packets_needed,water_liters_needed,medical_kits_needed,severity_score
Thiruvananthapuram,11,94,373.8,142.0,0,111,231.8,2.6139860139860143,0.8392857142857143,1.168421052631579,0,3384,5640,115,2.99
Kollam,5,168,644.1,258.7,2,95,385.40000000000003,2.4801694262610705,1.75,0.5621301775147929,0,6048,10080,54,2.56
Pathanamthitta,3,4352,764.9,352.7,8,741,412.2,2.162567147299972,5.8652291105121295,0.1702274293590627,0,156672,261120,67,2.75
Alappuzha,43,2126,608.2,343.1,0,2075,265.1,1.7675094449287998,1.0240847784200386,0.9755524212505877,0,76536,127560,533,5.1
Kottayam,14,788,619.2,386.0,29,76,233.20000000000005,1.6,10.233766233766234,0.09632446134347275,1,28368,47280,143,1.97
Idukki,54,363,1478.9,527.3,143,1166,951.6000000000001,2.7993564262729516,0.3110539845758355,3.2032967032967035,1,13068,21780,598,8.15
Ernakulam,58,1582,648.3,401.3,0,615,246.99999999999994,1.611483967188665,2.5681818181818183,0.3885028427037271,0,56952,94920,610,3.97
Thrissur,72,1513,734.7,440.1,26,2889,294.6,1.665608705508955,0.5235294117647059,1.9081902245706737,1,54468,90780,864,7.36
Palakkad,20,165,848.8,333.8,20,1118,515.0,2.5352449223416964,0.14745308310991956,6.734939759036145,0,5940,9900,255,4.57
Malappuram,30,213,913.7,395.3,30,500,518.4000000000001,2.305576583396417,0.4251497005988024,2.336448598130841,1,7668,12780,325,4.14
Kozhikode,16,399,836.0,500.9,9,107,335.1,1.665670452281331,3.6944444444444446,0.2675,0,14364,23940,165,1.9
Wayanad,6,451,1053.5,592.9,47,702,460.6,1.7738676544872876,0.6415362731152204,1.5530973451327434,1,16236,27060,95,2.79
Kannur,6,37,665.3,540.9,17,121,124.39999999999998,1.227717291013102,0.30327868852459017,3.1842105263157894,0,1332,2220,66,0.95
Kasaragode,1,2,636.9,636.3,0,3,0.6000000000000227,0.999372352110466,0.5,1.0,0,72,120,10,0.04
